N = 3, P = 3, g = 1.000000, T = 0.500000, l = 10, Block = 1, Number of Blocks = 1, Number of Steps = 10000
MC Step, Potential Energy, Correlation
1,-4.000000,2.000000
2,-0.686069,-0.722521
3,-0.816833,0.266948
4,0.776644,-0.277479
5,0.155395,0.093187
6,1.255297,-0.535628
7,-0.149926,-0.367711
8,-1.149815,1.320914
9,-0.022037,-0.623490
10,1.652478,-0.826239
11,2.337566,0.730682
12,-0.445042,0.222521
13,-0.700386,1.030303
14,1.260492,-0.914101
15,-1.978621,0.733052
16,-2.374152,1.781812
17,-0.873667,-0.955573
18,0.339445,1.191580
19,-0.866720,-1.233052
20,-0.496901,0.326239
21,0.638373,0.698220
22,-1.207436,0.603718
23,1.629542,0.440071
24,-3.692957,1.652478
25,0.001224,0.326239
26,0.632862,-0.162592
27,0.064088,-0.425270
28,-0.078499,0.123490
29,0.730682,-0.365341
30,-0.654932,1.030303
31,-2.635719,0.400969
32,-2.641828,1.320914
33,2.056369,-1.634021
34,-1.179763,1.911146
35,2.550080,-1.466104
36,-3.167133,0.988831
37,-2.336959,1.449729
38,-3.152379,1.955573
39,-1.762008,1.191580
40,1.445042,-0.722521
41,-0.044541,-0.074730
42,0.427744,-0.367711
43,0.724207,1.030303
44,2.794991,-1.123490
45,3.050257,-1.634021
46,-0.067251,-0.162592
47,3.094188,-1.721883
48,-1.210838,0.222521
49,0.449827,1.579063
50,0.327026,1.320914
51,-1.050429,1.652478
52,0.747661,1.246980
53,1.564088,1.074730
54,3.439862,-1.977662
55,-3.152379,1.955573
56,0.192876,1.781812
57,-0.534124,-0.134659
58,-0.560521,1.449729
59,0.474785,0.326239
60,1.276723,-0.074730
61,1.996980,-0.623490
62,1.092163,1.449729
63,-2.136480,0.698220
64,-0.834695,-0.425270
65,-0.150295,-0.147791
66,-2.383160,1.191580
67,-0.472729,-0.033258
68,1.208032,0.326239
69,0.238239,-0.147791
70,0.986112,-0.365341
71,-0.087490,0.011169
72,-1.419626,-1.123490
73,0.454332,0.698220
74,-1.207436,0.603718
75,-2.056191,-1.233052
76,-2.060606,1.030303
77,-0.117905,-0.134659
78,-1.300576,-0.365341
79,3.327239,-1.488831
80,-1.003761,1.579063
81,1.484750,0.400969
82,0.436916,0.733052
83,1.923473,-0.147791
84,-0.168606,-0.033258
85,-0.521367,-0.277479
86,3.451225,-1.233052
87,0.476746,-1.233052
88,-0.000125,-0.033258
89,-2.242359,1.781812
90,1.987034,1.191580
91,0.449827,1.579063
92,-2.374152,1.781812
93,0.142985,1.320914
94,-2.056191,-1.233052
95,-0.415545,-0.535628
96,0.181486,0.733052
97,-1.275116,0.455573
98,-2.388932,-0.955573
99,0.823974,0.222521
100,-1.624178,-1.488831
101,-0.553817,0.440071
102,-1.127350,1.826239
103,-2.717704,0.698220
104,-2.015156,0.455573
105,1.848424,-1.721883
106,-1.928302,-1.488831
107,1.812001,1.781812
108,0.568709,0.733052
109,2.429650,-1.488831
110,-0.784266,0.900969
111,-3.194833,1.652478
112,2.378259,-1.889800
113,-2.541119,0.733052
114,1.700307,-1.233052
115,-3.427775,0.988831
116,3.067557,-1.233052
117,-1.607199,0.123490
118,3.443765,-1.721883
119,-2.366718,-1.000000
120,-1.027479,-0.277479
121,3.435958,-1.466104
122,-0.367567,0.455573
123,-0.296416,-0.074730
124,2.579240,-0.955573
125,1.568532,-1.801938
126,2.000000,-1.000000
127,0.317270,-0.914101
128,1.372917,1.652478
129,-0.169409,-0.109562
130,1.652478,-0.826239
131,-0.709394,0.440071
132,2.042450,1.320914
133,0.977963,-1.123490
134,1.355162,0.988831
135,1.752343,0.698220
136,-0.368582,0.440071
137,0.938944,0.988831
138,0.764201,-0.425270
139,2.161323,-0.623490
140,-1.652210,-0.658322
141,-3.152379,1.955573
142,-1.000000,0.500000
143,3.060610,-0.955573
144,1.682896,-0.623490
145,0.218617,-0.033258
146,0.218617,-0.033258
147,-0.032308,-0.914101
148,-1.551584,-1.634021
149,-1.032469,0.698220
150,1.661500,1.579063
151,-0.607038,-1.488831
152,0.106511,0.011169
153,3.691737,-1.977662
154,-1.933731,0.900969
155,0.284793,-1.889800
156,-1.022292,-0.658322
157,-1.441541,-1.466104
158,-2.228125,1.365341
159,0.432848,-0.033258
160,-1.262697,0.326239
161,-2.541119,0.733052
162,0.181486,0.733052
163,-1.773241,0.455573
164,-0.926428,-1.721883
165,1.425270,0.149460
166,2.485590,0.698220
167,-1.801938,0.900969
168,1.316644,-0.658322
169,-0.032308,-0.914101
170,-1.214222,1.449729
171,-1.396440,0.698220
172,-2.605388,-0.134659
173,3.040388,-0.147791
174,-0.252485,-0.162592
175,2.028681,-1.889800
176,-0.447472,-0.425270
177,1.956616,0.988831
178,-1.855707,-1.634021
179,-0.476251,-0.367711
180,-0.873667,-0.955573
181,0.259488,-1.721883
182,-1.789708,1.246980
183,0.084793,0.054604
184,0.142985,1.320914
185,-0.145365,0.011169
186,2.300576,-0.134659
187,3.691737,-1.977662
188,0.366703,0.099031
189,-0.246980,0.123490
190,-2.440004,0.142820
191,3.443765,-1.721883
192,-2.334986,1.579063
193,-1.955475,-0.826239
194,0.484750,0.900969
195,1.322099,0.222521
196,1.334426,1.030303
197,-0.195054,-1.801938
198,-3.158125,1.579063
199,-1.551584,-1.634021
200,-3.658223,1.449729
201,-0.151111,-0.365341
202,-1.044797,-0.109562
203,2.252422,0.900969
204,-0.880142,0.440071
205,0.369625,0.093187
206,0.110414,0.266948
207,-1.039051,0.266948
208,0.986112,-0.365341
209,-2.100697,-0.147791
210,-1.731816,1.652478
211,0.877172,-0.658322
212,-1.695108,1.579063
213,0.149460,-0.074730
214,0.050576,-0.134659
215,1.943794,1.781812
216,-1.634892,-0.826239
217,0.155395,0.093187
218,2.502422,0.400969
219,0.092933,0.142820
220,0.497515,-0.162592
221,1.932896,-1.123490
222,1.295982,-1.488831
223,2.429650,-1.488831
224,-0.828197,0.988831
225,-0.688917,1.781812
226,1.568532,-1.801938
227,-1.775215,0.326239
228,0.876510,1.246980
229,1.745104,-0.623490
230,1.124714,1.449729
231,1.260492,-0.914101
232,2.634887,-0.367711
233,-1.420728,1.030303
234,1.802984,0.093187
235,-1.475625,-0.623490
236,0.073974,-0.445042
237,-1.300576,-0.365341
238,0.432157,-0.535628
239,3.439862,-1.977662
240,2.932207,-1.466104
241,2.274078,-0.914101
242,2.579240,-0.955573
243,0.546495,0.777479
244,1.250000,0.500000
245,1.933359,-1.000000
246,-1.330319,-0.914101
247,0.198902,0.698220
248,0.646711,-1.721883
249,0.573049,-0.658322
250,-1.977662,0.988831
251,0.327026,1.320914
252,-1.873490,-1.123490
253,0.588389,0.099031
254,1.156571,1.320914
255,1.177613,0.123490
256,2.417102,-0.367711
257,-0.854474,-0.623490
258,0.156904,-1.634021
259,1.422029,-0.365341
260,-1.574293,-1.721883
261,-1.836861,1.579063
262,0.673761,1.652478
263,2.417102,-0.367711
